Rank,NCT Number,Title,Status,Study Results,Conditions,Interventions,Sponsor/Collaborators,Age,Phases,Funded Bys,Study Type,Study Designs,Locations,Study Documents,URL
766,NCT02642159,Efficacy and Safety of Alirocumab Versus Usual Care on Top of Maximally Tolerated Statin Therapy in Patients With Type 2 Diabetes and Mixed Dyslipidemia (ODYSSEY DM-Dyslipidemia),Completed,Has Results,Dyslipidemia,Drug: Alirocumab|Drug: Statins|Drug: Ezetimibe|Drug: Fenofibrate|Drug: Nicotinic acid|Drug: Omega-3 fatty acids|Drug: Antihyperglycemic Drug,Sanofi|Regeneron Pharmaceuticals,"18 Years and older   (Adult, Older Adult)",Phase 4,Industry,Interventional,Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment,"Investigational Site Number 840-163, Little Rock, Arkansas, United States|Investigational Site Number 840-141, Fresno, California, United States|Investigational Site Number 840-152, Huntington Beach, California, United States|Investigational Site Number 840-115, La Jolla, California, United States|Investigational Site Number 840-118, Los Angeles, California, United States|Investigational Site Number 840-106, Northridge, California, United States|Investigational Site Number 840-176, Port Hueneme, California, United States|Investigational Site Number 840-122, Tarzana, California, United States|Investigational Site Number 840-156, Tustin, California, United States|Investigational Site Number 840-160, Van Nuys, California, United States|Investigational Site Number 840-107, Boca Raton, Florida, United States|Investigational Site Number 840-170, Boynton Beach, Florida, United States|Investigational Site Number 840-114, Bradenton, Florida, United States|Investigational Site Number 840-132, Ocoee, Florida, United States|Investigational Site Number 840-179, Oviedo, Florida, United States|Investigational Site Number 840-123, Tampa, Florida, United States|Investigational Site Number 840-137, Bainbridge, Georgia, United States|Investigational Site Number 840-128, Columbus, Georgia, United States|Investigational Site Number 840-169, Stockbridge, Georgia, United States|Investigational Site Number 840-167, Idaho Falls, Idaho, United States|Investigational Site Number 840-161, Chicago, Illinois, United States|Investigational Site Number 840-184, Crystal Lake, Illinois, United States|Investigational Site Number 840-174, Evanston, Illinois, United States|Investigational Site Number 840-138, Springfield, Illinois, United States|Investigational Site Number 840-108, Louisville, Kentucky, United States|Investigational Site Number 840-183, Paducah, Kentucky, United States|Investigational Site Number 840-190, Metairie, Louisiana, United States|Investigational Site Number 840-151, Rockville, Maryland, United States|Investigational Site Number 840-113, Jefferson City, Missouri, United States|Investigational Site Number 840-120, Saint Louis, Missouri, United States|Investigational Site Number 840-148, Omaha, Nebraska, United States|Investigational Site Number 840-101, Las Vegas, Nevada, United States|Investigational Site Number 840-140, Las Vegas, Nevada, United States|Investigational Site Number 840-178, Albany, New York, United States|Investigational Site Number 840-181, New York, New York, United States|Investigational Site Number 840-157, New York, New York, United States|Investigational Site Number 840-188, Greensboro, North Carolina, United States|Investigational Site Number 840-131, Morehead City, North Carolina, United States|Investigational Site Number 840-158, Morganton, North Carolina, United States|Investigational Site Number 840-129, Fargo, North Dakota, United States|Investigational Site Number 840-104, Columbus, Ohio, United States|Investigational Site Number 840-105, Marion, Ohio, United States|Investigational Site Number 840-175, Maumee, Ohio, United States|Investigational Site Number 840-136, Bend, Oregon, United States|Investigational Site Number 840-187, Murrells Inlet, South Carolina, United States|Investigational Site Number 840-111, Summerville, South Carolina, United States|Investigational Site Number 840-147, Chattanooga, Tennessee, United States|Investigational Site Number 840-159, Knoxville, Tennessee, United States|Investigational Site Number 840-153, Dallas, Texas, United States|Investigational Site Number 840-143, Houston, Texas, United States|Investigational Site Number 840-168, Houston, Texas, United States|Investigational Site Number 840-142, Round Rock, Texas, United States|Investigational Site Number 840-133, Tomball, Texas, United States|Investigational Site Number 840-185, Orem, Utah, United States|Investigational Site Number 840-150, Salt Lake City, Utah, United States|Investigational Site Number 840-126, Chesapeake, Virginia, United States|Investigational Site Number 840-171, Richmond, Virginia, United States|Investigational Site Number 036102, Herston, Australia|Investigational Site Number 036104, Merewether, Australia|Investigational Site Number 036101, St Leonards, Australia|Investigational Site Number 076103, Campinas, Brazil|Investigational Site Number 076104, Fortaleza, Brazil|Investigational Site Number 076101, Sao Paulo, Brazil|Investigational Site Number 076105, São paulo, Brazil|Investigational Site Number 076106, São Paulo, Brazil|Investigational Site Number 076102, SãO Paulo, Brazil|Investigational Site Number 246102, Oulu, Finland|Investigational Site Number 246101, Oulu, Finland|Investigational Site Number 246104, Tampere, Finland|Investigational Site Number 276112, Berlin, Germany|Investigational Site Number 276109, Berlin, Germany|Investigational Site Number 276104, Dippoldiswalde, Germany|Investigational Site Number 276101, Dresden, Germany|Investigational Site Number 276110, Essen, Germany|Investigational Site Number 276108, Essen, Germany|Investigational Site Number 276111, Goch, Germany|Investigational Site Number 276107, Karlsruhe, Germany|Investigational Site Number 276103, Künzing, Germany|Investigational Site Number 276102, Oldenburg in Holstein, Germany|Investigational Site Number 376101, Beer Sheva, Israel|Investigational Site Number 376103, Petach Tikva, Israel|Investigational Site Number 376104, Petach tikva, Israel|Investigational Site Number 376102, Rehovot, Israel|Investigational Site Number 376106, Tel-Aviv, Israel|Investigational Site Number 380104, Bergamo, Italy|Investigational Site Number 380107, Catanzaro, Italy|Investigational Site Number 380103, Napoli, Italy|Investigational Site Number 380108, Padova, Italy|Investigational Site Number 380106, Partinico, Italy|Investigational Site Number 380101, Pisa, Italy|Investigational Site Number 380105, Roma, Italy|Investigational Site Number 380102, Torino, Italy|Investigational Site Number 414101, Kuwait, Kuwait|Investigational Site Number 422101, Beirut, Lebanon|Investigational Site Number 422102, Hazmieh, Lebanon|Investigational Site Number 578101, Oslo, Norway|Investigational Site Number 578102, Oslo, Norway|Investigational Site Number 752102, Göteborg, Sweden|Investigational Site Number 752101, Stockholm, Sweden|Investigational Site Number 756101, Genève, Switzerland|Investigational Site Number 756102, Olten, Switzerland|Investigational Site Number 756103, Reinach, Switzerland|Investigational Site Number 792105, Adana, Turkey|Investigational Site Number 792106, Ankara, Turkey|Investigational Site Number 792102, Ankara, Turkey|Investigational Site Number 792108, Corum, Turkey|Investigational Site Number 792109, Hatay, Turkey|Investigational Site Number 792104, Izmir, Turkey|Investigational Site Number 792101, Izmir, Turkey|Investigational Site Number 792110, Izmir, Turkey|Investigational Site Number 792107, Kayseri, Turkey|Investigational Site Number 792103, Samsun, Turkey|Investigational Site Number 784101, Dubai, United Arab Emirates|Investigational Site Number 826104, Exeter, United Kingdom|Investigational Site Number 826106, Manchester, United Kingdom|Investigational Site Number 826105, Middlesborough, United Kingdom|Investigational Site Number 826103, Stevenage, United Kingdom|Investigational Site Number 826101, Torquay, United Kingdom|Investigational Site Number 826102, West Bromwich, United Kingdom","""Study Protocol"", https://ClinicalTrials.gov/ProvidedDocs/59/NCT02642159/Prot_000.pdf|""Statistical Analysis Plan"", https://ClinicalTrials.gov/ProvidedDocs/59/NCT02642159/SAP_001.pdf",https://ClinicalTrials.gov/show/NCT02642159
767,NCT02738086,Physical Activity Behavior Change for Older Adults After Dysvascular Amputation,Completed,Has Results,"Amputation|Diabetes Mellitus, Type 2|Peripheral Artery Disease",Behavioral: Physical Activity Behavior Change (PABC),VA Office of Research and Development,"50 Years to 85 Years   (Adult, Older Adult)",Not Applicable,U.S. Fed,Interventional,Allocation: Randomized|Intervention Model: Crossover Assignment|Masking: Single (Outcomes Assessor)|Primary Purpose: Treatment,"Rocky Mountain Regional VA Medical Center, Aurora, CO, Aurora, Colorado, United States","""Study Protocol and Statistical Analysis Plan"", https://ClinicalTrials.gov/ProvidedDocs/86/NCT02738086/Prot_SAP_000.pdf|""Informed Consent Form"", https://ClinicalTrials.gov/ProvidedDocs/86/NCT02738086/ICF_001.pdf",https://ClinicalTrials.gov/show/NCT02738086
768,NCT01858532,Study Of Diabetic Nephropathy With Atrasentan,Terminated,Has Results,Diabetic Nephropathy,Drug: Atrasentan|Drug: Placebo,AbbVie,"18 Years to 85 Years   (Adult, Older Adult)",Phase 3,Industry,Interventional,"Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor)|Primary Purpose: Treatment",Ireland,"""Study Protocol"", https://ClinicalTrials.gov/ProvidedDocs/32/NCT01858532/Prot_000.pdf|""Statistical Analysis Plan"", https://ClinicalTrials.gov/ProvidedDocs/32/NCT01858532/SAP_001.pdf",https://ClinicalTrials.gov/show/NCT01858532
769,NCT02585778,Efficacy and Safety of Alirocumab Versus Placebo on Top of Maximally Tolerated Lipid Lowering Therapy in Patients With Hypercholesterolemia Who Have Type 1 or Type 2 Diabetes and Are Treated With Insulin (ODYSSEY DM - Insulin),Completed,Has Results,Hypercholesterolaemia,Drug: Alirocumab|Drug: Placebo|Drug: Lipid-Modifying Therapy (LMT)|Drug: Antihyperglycemic Drug,Sanofi|Regeneron Pharmaceuticals,"18 Years and older   (Adult, Older Adult)",Phase 3,Industry,Interventional,"Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Double (Participant, Investigator)|Primary Purpose: Treatment","Investigational Site Number 840020, Encino, California, United States|Investigational Site Number 840002, Fresno, California, United States|Investigational Site Number 840029, Oakland, California, United States|Investigational Site Number 840027, Loveland, Colorado, United States|Investigational Site Number 840026, Atlantis, Florida, United States|Investigational Site Number 840006, Bradenton, Florida, United States|Investigational Site Number 840023, Jacksonville, Florida, United States|Investigational Site Number 840028, Palm Harbor, Florida, United States|Investigational Site Number 840022, Ponte Vedra Beach, Florida, United States|Investigational Site Number 840021, Roswell, Georgia, United States|Investigational Site Number 840007, Springfield, Illinois, United States|Investigational Site Number 840011, Indianapolis, Indiana, United States|Investigational Site Number 840015, Valparaiso, Indiana, United States|Investigational Site Number 840010, Des Moines, Iowa, United States|Investigational Site Number 840005, Louisville, Kentucky, United States|Investigational Site Number 840018, Auburn, Maine, United States|Investigational Site Number 840013, Hyattsville, Maryland, United States|Investigational Site Number 840016, Rockville, Maryland, United States|Investigational Site Number 840004, Minneapolis, Minnesota, United States|Investigational Site Number 840012, Jamaica, New York, United States|Investigational Site Number 840014, Maumee, Ohio, United States|Investigational Site Number 840009, Greer, South Carolina, United States|Investigational Site Number 840024, Chattanooga, Tennessee, United States|Investigational Site Number 840001, Austin, Texas, United States|Investigational Site Number 840003, Dallas, Texas, United States|Investigational Site Number 840019, Dallas, Texas, United States|Investigational Site Number 840025, Houston, Texas, United States|Investigational Site Number 840017, Ogden, Utah, United States|Investigational Site Number 840008, Salt Lake City, Utah, United States|Investigational Site Number 040002, Innsbruck, Austria|Investigational Site Number 040005, Linz, Austria|Investigational Site Number 040003, Salzburg, Austria|Investigational Site Number 040004, Salzburg, Austria|Investigational Site Number 040001, Wien, Austria|Investigational Site Number 056002, Edegem, Belgium|Investigational Site Number 056003, Haine-Saint-Paul, Belgium|Investigational Site Number 056001, Leuven, Belgium|Investigational Site Number 250-008, Besancon, France|Investigational Site Number 250-005, Corbeil Essonnes, France|Investigational Site Number 250-004, La Rochelle Cedex 1, France|Investigational Site Number 250-003, Le Creusot, France|Investigational Site Number 250-009, Mulhouse, France|Investigational Site Number 250-002, Nantes cedex 01, France|Investigational Site Number 250-007, Paris, France|Investigational Site Number 250-006, Strasbourg Cedex 2, France|Investigational Site Number 250-001, TOULOUSE Cedex 9, France|Investigational Site Number 276015, Aschaffenburg, Germany|Investigational Site Number 276002, Berlin, Germany|Investigational Site Number 276011, Dortmund, Germany|Investigational Site Number 276019, Dresden, Germany|Investigational Site Number 276014, Dresden, Germany|Investigational Site Number 276009, Dresden, Germany|Investigational Site Number 276021, Hamburg, Germany|Investigational Site Number 276018, Hamburg, Germany|Investigational Site Number 276005, Heidelberg, Germany|Investigational Site Number 276013, Lüneburg, Germany|Investigational Site Number 276022, Magdeburg, Germany|Investigational Site Number 276008, Neumünster, Germany|Investigational Site Number 276017, Neuwied, Germany|Investigational Site Number 276004, Oldenburg, Germany|Investigational Site Number 276003, Pirna, Germany|Investigational Site Number 276006, Riesa, Germany|Investigational Site Number 276010, Saarlouis, Germany|Investigational Site Number 276016, Sulzbach-Rosenberg, Germany|Investigational Site Number 380004, Catania, Italy|Investigational Site Number 380003, Catanzaro, Italy|Investigational Site Number 380011, Como, Italy|Investigational Site Number 380006, Milano, Italy|Investigational Site Number 380007, Milano, Italy|Investigational Site Number 380005, Moncalieri, Italy|Investigational Site Number 380009, Napoli, Italy|Investigational Site Number 380008, Padova, Italy|Investigational Site Number 380002, Palermo, Italy|Investigational Site Number 380001, Pisa, Italy|Investigational Site Number 380010, Roma, Italy|Investigational Site Number 380012, Verona, Italy|Investigational Site Number 528002, Apeldoorn, Netherlands|Investigational Site Number 528005, Groningen, Netherlands|Investigational Site Number 528003, Hoogeveen, Netherlands|Investigational Site Number 528001, Rotterdam, Netherlands|Investigational Site Number 528004, Utrecht, Netherlands|Investigational Site Number 724007, Badalona, Spain|Investigational Site Number 724001, Barcelona, Spain|Investigational Site Number 724006, Ferrol, Spain|Investigational Site Number 724013, Granada, Spain|Investigational Site Number 724005, Madrid, Spain|Investigational Site Number 724004, Madrid, Spain|Investigational Site Number 724011, Majadahonda, Spain|Investigational Site Number 724008, Málaga, Spain|Investigational Site Number 724014, Oviedo, Spain|Investigational Site Number 724009, Palma de Mallorca, Spain|Investigational Site Number 724002, Pamplona, Spain|Investigational Site Number 724010, Sant Joan Despí, Spain|Investigational Site Number 724012, Segovia, Spain|Investigational Site Number 724003, Sevilla, Spain|Investigational Site Number 756001, Olten, Switzerland|Investigational Site Number 756003, St. Gallen, Switzerland|Investigational Site Number 826010, Airdrie, United Kingdom|Investigational Site Number 826011, Bath, United Kingdom|Investigational Site Number 826009, Bournemouth, United Kingdom|Investigational Site Number 826005, Bradford, United Kingdom|Investigational Site Number 826004, Bristol, United Kingdom|Investigational Site Number 826001, Burton On Trent, United Kingdom|Investigational Site Number 826015, Durham, United Kingdom|Investigational Site Number 826012, High Wycombe, United Kingdom|Investigational Site Number 826007, Manchester, United Kingdom|Investigational Site Number 826006, Peterborough, United Kingdom|Investigational Site Number 826003, Southampton, United Kingdom|Investigational Site Number 826008, Truro, United Kingdom|Investigational Site Number 826002, Welwyn Garden City, United Kingdom","""Study Protocol"", https://ClinicalTrials.gov/ProvidedDocs/78/NCT02585778/Prot_000.pdf|""Statistical Analysis Plan"", https://ClinicalTrials.gov/ProvidedDocs/78/NCT02585778/SAP_001.pdf",https://ClinicalTrials.gov/show/NCT02585778
770,NCT03750695,Acute Exercise Effects in Obese Pregnancy,Completed,Has Results,Pregnancy Complications|Obesity|Pre-Eclampsia|Gestational Diabetes,Behavioral: Resistance exercise|Behavioral: Aerobic Exercise|Behavioral: Rest,Duke University,18 Years to 40 Years   (Adult),Not Applicable,Other,Interventional,Allocation: Randomized|Intervention Model: Crossover Assignment|Masking: None (Open Label)|Primary Purpose: Treatment,"Washington University, Saint Louis, Missouri, United States","""Study Protocol and Statistical Analysis Plan"", https://ClinicalTrials.gov/ProvidedDocs/95/NCT03750695/Prot_SAP_000.pdf",https://ClinicalTrials.gov/show/NCT03750695
771,NCT02556918,Sitagliptin for Hyperglycemia in Patients With T2DM Undergoing Cardiac Surgery,Completed,Has Results,Hyperglycemia,Drug: Sitagliptin|Drug: Placebo|Drug: Regular Human Insulin|Drug: Insulin glargine|Drug: Supplemental insulin (Insulin lispro)|Drug: Supplemental insulin (Insulin aspart),Emory University,"18 Years to 80 Years   (Adult, Older Adult)",Phase 4,Other,Interventional,Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Single (Participant)|Primary Purpose: Prevention,"Grady Health System, Atlanta, Georgia, United States|Emory Univeristy Hospital Midtown, Atlanta, Georgia, United States|Emory University Hospital, Atlanta, Georgia, United States","""Study Protocol and Statistical Analysis Plan"", https://ClinicalTrials.gov/ProvidedDocs/18/NCT02556918/Prot_SAP_000.pdf",https://ClinicalTrials.gov/show/NCT02556918
772,NCT03304626,Budesonide for Liver Transplant Immune Suppression,Completed,Has Results,Acute Cellular Graft Rejection|New Onset Diabetes After Transplant,Drug: Budesonide 3Mg Capsule|Drug: Standard of Care Prednisone,University of Cincinnati|American College of Gastroenterology,"21 Years to 75 Years   (Adult, Older Adult)",Phase 2,Other,Interventional,Allocation: Non-Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment,"University of Cincinnati Medical Center, Cincinnati, Ohio, United States","""Study Protocol and Statistical Analysis Plan"", https://ClinicalTrials.gov/ProvidedDocs/26/NCT03304626/Prot_SAP_001.pdf",https://ClinicalTrials.gov/show/NCT03304626
773,NCT02118714,Atrasentan Spermatogenesis and Testicular Function,Completed,Has Results,Nephropathy|Diabetes,Drug: Atrasentan,AbbVie,"30 Years to 75 Years   (Adult, Older Adult)",Phase 2,Industry,Interventional,Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Other,"Alliance Research Centers /ID# 125945, Laguna Hills, California, United States|Frank Clark Urology Center /ID# 147794, Santa Monica, California, United States|Research by Design, LLC /ID# 160784, Evergreen Park, Illinois, United States|Southern IL Univ School of Med /ID# 129010, Springfield, Illinois, United States|Crescent City Clinical Res Ctr /ID# 150989, Metairie, Louisiana, United States|Tulane Univ /ID# 130308, New Orleans, Louisiana, United States|Albany Medical College /ID# 131068, Albany, New York, United States|Urologic Consultants of Southeastern Pennsylvania /ID# 124277, Bala-Cynwyd, Pennsylvania, United States|Eastern Virginia Med School /ID# 153740, Norfolk, Virginia, United States|Charite Research Organisation GmbH /ID# 154264, Berlin, Germany|Ospedale S. Carlo Borromeo /ID# 151672, Milan, Italy|SCDU Nefrologia e dialisi-CMID /ID# 151673, Torino, Italy|Hospital Universitario Reina S /ID# 151692, Cordoba, Spain","""Study Protocol"", https://ClinicalTrials.gov/ProvidedDocs/14/NCT02118714/Prot_000.pdf|""Statistical Analysis Plan"", https://ClinicalTrials.gov/ProvidedDocs/14/NCT02118714/SAP_001.pdf",https://ClinicalTrials.gov/show/NCT02118714
774,NCT05037591,Effect of Sea Grapes-antioxidants Extract in Obese Men : 4 Weeks Randomized-Double Blind Controlled Trial,Completed,No Results Available,Obesity|Aging|Diabetes,Drug: Sea grapes extract 1.68 g/70kg BW|Drug: Placebo,State Islamic University of Sunan Kalijaga Yogyakarta,19 Years to 60 Years   (Adult),Early Phase 1,Other,Interventional,"Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Double (Participant, Care Provider)|Primary Purpose: Treatment","Fahrul Nurkolis, Manado, Sulawesi Utara, Indonesia","""Study Protocol, Statistical Analysis Plan, and Informed Consent Form"", https://ClinicalTrials.gov/ProvidedDocs/91/NCT05037591/Prot_SAP_ICF_000.pdf",https://ClinicalTrials.gov/show/NCT05037591
775,NCT04134650,Effect of Low Dose Combination of Linagliptin + Metformin to Prevent Diabetes,Unknown status,No Results Available,Prediabetic State|Insulin Resistance,Combination Product: Linagliptin + metformin|Drug: Metformin,Universidad de Guanajuato|Hospital Regional de Alta Especialidad del Bajio,"18 Years to 65 Years   (Adult, Older Adult)",Phase 3,Other,Interventional,"Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor)|Primary Purpose: Prevention","Universidad de Guanajuato, León, Guanauato, Mexico","""Study Protocol and Statistical Analysis Plan"", https://ClinicalTrials.gov/ProvidedDocs/50/NCT04134650/Prot_SAP_000.pdf",https://ClinicalTrials.gov/show/NCT04134650
776,NCT04189848,Comparison of Injection Site Pain Experience for Semaglutide and Dulaglutide sc,Completed,Has Results,"Healthy Volunteers|Diabetes Mellitus, Type 2|Overweight|Obesity",Drug: Semaglutide|Drug: Dulaglutide,Novo Nordisk A/S,"18 Years to 75 Years   (Adult, Older Adult)",Phase 4,Industry,Interventional,"Allocation: Randomized|Intervention Model: Crossover Assignment|Masking: Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor)|Primary Purpose: Treatment","Novo Nordisk Investigational Site, Groningen, Netherlands","""Study Protocol"", https://ClinicalTrials.gov/ProvidedDocs/48/NCT04189848/Prot_000.pdf|""Statistical Analysis Plan"", https://ClinicalTrials.gov/ProvidedDocs/48/NCT04189848/SAP_001.pdf",https://ClinicalTrials.gov/show/NCT04189848
777,NCT04799925,Hyperuricemia and Diabetic Nephropathy,Not yet recruiting,No Results Available,Hyperuricemia|Diabetic Nephropathies,Drug: Febuxostat,Assiut University,"18 Years and older   (Adult, Older Adult)",,Other,Observational,Observational Model: Case-Control|Time Perspective: Prospective,Egypt,"""Study Protocol, Statistical Analysis Plan, and Informed Consent Form"", https://ClinicalTrials.gov/ProvidedDocs/25/NCT04799925/Prot_SAP_ICF_000.pdf",https://ClinicalTrials.gov/show/NCT04799925
778,NCT02057952,HealthyMe Online Weight Management Education/HealthyMe at Home,Completed,Has Results,Diabetes,Behavioral: Education and exercise,"Indiana University|Regenstrief Institute, Inc.|Wishard Health Services",40 Years to 64 Years   (Adult),Not Applicable,Other,Interventional,Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Single (Outcomes Assessor)|Primary Purpose: Treatment,"Indiana University School of Medicine, Indianapolis, Indiana, United States","""Study Protocol"", https://ClinicalTrials.gov/ProvidedDocs/52/NCT02057952/Prot_000.pdf|""Statistical Analysis Plan"", https://ClinicalTrials.gov/ProvidedDocs/52/NCT02057952/SAP_001.pdf|""Informed Consent Form"", https://ClinicalTrials.gov/ProvidedDocs/52/NCT02057952/ICF_002.pdf",https://ClinicalTrials.gov/show/NCT02057952
779,NCT02287883,Impact of Patient Activation and Engagement on Patient-Centered Outcomes of Care in ACOs,Completed,Has Results,Diabetes|Cardiovascular Disease,Other: Observational: Patient Activation and Engagement (PAE),"University of California, Berkeley|Dartmouth College|Advocate Health Care|HealthCare Partners Institute for Applied Research and Education","18 Years to 82 Years   (Adult, Older Adult)",,Other,Observational,Observational Model: Cohort|Time Perspective: Prospective,"University of California, Berkeley, Berkeley, California, United States|HealthCare Partners Insitute for Applied Research and Education, Torrance, California, United States|Advocate Health Care, Chicago, Illinois, United States|Dartmouth Colelge, Hanover, New Hampshire, United States","""Study Protocol and Statistical Analysis Plan"", https://ClinicalTrials.gov/ProvidedDocs/83/NCT02287883/Prot_SAP_000.pdf|""Informed Consent Form"", https://ClinicalTrials.gov/ProvidedDocs/83/NCT02287883/ICF_001.pdf",https://ClinicalTrials.gov/show/NCT02287883
780,NCT03656744,A Study of HTD1801 in Adults With Nonalcoholic Steatohepatitis (NASH) and Type 2 Diabetes Mellitus (T2DM),Completed,Has Results,"Fatty Liver, Nonalcoholic|NAFLD|Nonalcoholic Fatty Liver Disease|Nonalcoholic Steatohepatitis|Digestive System Diseases|Type 2 Diabetes Mellitus (T2DM)",Drug: HTD1801|Drug: Placebo,HighTide Biopharma Pty Ltd,"18 Years to 75 Years   (Adult, Older Adult)",Phase 2,Industry,Interventional,"Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor)|Primary Purpose: Treatment","Institute for Liver Health, Chandler, Arizona, United States|Institute for Liver Health, Tucson, Arizona, United States|Adobe Clinical Research, Tucson, Arizona, United States|National Research Institute, Panorama City, California, United States|Excel Medical Clinical Trials, Boca Raton, Florida, United States|Florida Research Institute, Lakewood Ranch, Florida, United States|Compass Research, Orlando, Florida, United States|Kansas City Research Institute, Kansas City, Missouri, United States|Cumberland Research Associates, Fayetteville, North Carolina, United States|Gastro One, Germantown, Tennessee, United States|Digestive Health Research, Hermitage, Tennessee, United States|Pinnacle Clinical Research, Austin, Texas, United States|Doctors Hospital at Renaissance, Edinburg, Texas, United States|Pinnacle Clinical Research, San Antonio, Texas, United States|Texas Digestive Disease Consultants, Southlake, Texas, United States|Harborview Medical Center, Seattle, Washington, United States|University of Washington Medical Center, Seattle, Washington, United States","""Study Protocol"", https://ClinicalTrials.gov/ProvidedDocs/44/NCT03656744/Prot_000.pdf|""Statistical Analysis Plan"", https://ClinicalTrials.gov/ProvidedDocs/44/NCT03656744/SAP_001.pdf",https://ClinicalTrials.gov/show/NCT03656744
781,NCT01419535,Mifepristone Effects on Glucose Intolerance in Obese/Overweight Adults,Completed,Has Results,Endocrine Disease|Diabetes,Drug: Mifepristone|Drug: Placebo,Eunice Kennedy Shriver National Institute of Child Health and Human Development (NICHD)|National Institute of Diabetes and Digestive and Kidney Diseases (NIDDK)|National Institutes of Health Clinical Center (CC),"35 Years to 70 Years   (Adult, Older Adult)",Phase 1|Phase 2,NIH,Interventional,"Allocation: Randomized|Intervention Model: Crossover Assignment|Masking: Triple (Participant, Care Provider, Investigator)|Primary Purpose: Treatment","National Institutes of Health Clinical Center, 9000 Rockville Pike, Bethesda, Maryland, United States","""Study Protocol and Statistical Analysis Plan"", https://ClinicalTrials.gov/ProvidedDocs/35/NCT01419535/Prot_SAP_000.pdf|""Informed Consent Form"", https://ClinicalTrials.gov/ProvidedDocs/35/NCT01419535/ICF_001.pdf",https://ClinicalTrials.gov/show/NCT01419535
782,NCT03463941,Peer Support Dyads in Churches,Completed,Has Results,Peer Support and Chronic Disease|Obesity|Type II Diabetes|Cardiovascular Disease|Cancer,Behavioral: Peer Support Dyad Intervention,Duke University|National Institute of Nursing Research (NINR),"18 Years and older   (Adult, Older Adult)",Not Applicable,Other|NIH,Interventional,Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Prevention,"Faithful Families Program, Raleigh, North Carolina, United States","""Study Protocol and Statistical Analysis Plan"", https://ClinicalTrials.gov/ProvidedDocs/41/NCT03463941/Prot_SAP_000.pdf",https://ClinicalTrials.gov/show/NCT03463941
783,NCT03960333,Immunometabolism in Pediatric Obesity,"Active, not recruiting",No Results Available,Obesity|Type 2 Diabetes Mellitus|Insulin Resistance,,Arkansas Children's Hospital Research Institute|National Institutes of Health (NIH)|National Institute of General Medical Sciences (NIGMS)|University of Arkansas,5 Years to 17 Years   (Child),,Other|NIH,Observational,Observational Model: Other|Time Perspective: Cross-Sectional,"Arkansas Children's Research Institute, Little Rock, Arkansas, United States","""Study Protocol and Statistical Analysis Plan"", https://ClinicalTrials.gov/ProvidedDocs/33/NCT03960333/Prot_SAP_000.pdf|""Informed Consent Form"", https://ClinicalTrials.gov/ProvidedDocs/33/NCT03960333/ICF_001.pdf",https://ClinicalTrials.gov/show/NCT03960333
784,NCT03188263,Morning Light Treatment to Improve Glucose Metabolism,Completed,Has Results,PreDiabetes|Circadian Dysregulation,Other: Bright Light|Other: Dim Light,Northwestern University|Rush University,"35 Years to 70 Years   (Adult, Older Adult)",Not Applicable,Other,Interventional,"Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Triple (Participant, Investigator, Outcomes Assessor)|Primary Purpose: Treatment","Northwestern Memorial Hospital, Chicago, Illinois, United States","""Study Protocol, Statistical Analysis Plan, and Informed Consent Form"", https://ClinicalTrials.gov/ProvidedDocs/63/NCT03188263/Prot_SAP_ICF_000.pdf",https://ClinicalTrials.gov/show/NCT03188263
