,NCT Number,Status,Conditions,Sponsor,Age,Funded_Bys,Study_Designs,Locations,links
279,NCT03015220,Completed,diabetes diabetes mellitus type 2 ,novo nordisk as , years and older   adult older adult ,industry ,allocation randomized intervention model parallel assignment masking none open label primary purpose treatment ,novo nordisk investigational site adachiku tokyo japan novo nordisk investigational site annakashi gunma japan novo nordisk investigational site arakawaku tokyo japan novo nordisk investigational site chibashi chiba japan novo nordisk investigational site chuoku tokyo japan novo nordisk investigational site fukushima japan novo nordisk investigational site gunma japan novo nordisk investigational site ibaraki japan novo nordisk investigational site irumashi saitama japan novo nordisk investigational site kanagawa japan novo nordisk investigational site kashiwarashi osaka japan novo nordisk investigational site kawagoeshi saitama japan novo nordisk investigational site kawaguchishi saitama japan novo nordisk investigational site kumamoto japan novo nordisk investigational site kurashikishi okayama japan novo nordisk investigational site kyotoshi kyoto japan novo nordisk investigational site mitakashi tokyo japan novo nordisk investigational site mitoshi ibaraki japan novo nordisk investigational site miyazaki japan novo nordisk investigational site osaka japan novo nordisk investigational site otaku tokyo japan novo nordisk investigational site sapporoshi hokkaido japan novo nordisk investigational site sapporoshi japan novo nordisk investigational site sendaishi miyagi japan novo nordisk investigational site shimotsukeshi tochigi japan novo nordisk investigational site shinagawaku tokyo japan novo nordisk investigational site shizuokashi shizuoka japan novo nordisk investigational site suitashi osaka japan novo nordisk investigational site tokyo japan novo nordisk investigational site tokyo japan novo nordisk investigational site tokyo japan novo nordisk investigational site tokyo japan novo nordisk investigational site toshimaku tokyo japan novo nordisk investigational site yamatoshi kanagawa japan ,https://ClinicalTrials.gov/ProvidedDocs/20/NCT03015220/Prot_000.pdf
280,NCT03268005,Completed,diabetes diabetes mellitus type 2 ,novo nordisk as , years and older   adult older adult ,industry ,allocation randomized intervention model parallel assignment masking quadruple participant care provider investigator outcomes assessor primary purpose treatment ,novo nordisk investigational site concord california united states novo nordisk investigational site fresno california united states novo nordisk investigational site fullerton california united states novo nordisk investigational site lancaster california united states novo nordisk investigational site norco california united states novo nordisk investigational site sacramento california united states novo nordisk investigational site ventura california united states novo nordisk investigational site walnut creek california united states novo nordisk investigational site denver colorado united states novo nordisk investigational site golden colorado united states novo nordisk investigational site waterbury connecticut united states novo nordisk investigational site boynton beach florida united states novo nordisk investigational site bradenton florida united states novo nordisk investigational site fort lauderdale florida united states novo nordisk investigational site miami florida united states novo nordisk investigational site tampa florida united states novo nordisk investigational site alpharetta georgia united states novo nordisk investigational site lawrenceville georgia united states novo nordisk investigational site roswell georgia united states novo nordisk investigational site honolulu hawaii united states novo nordisk investigational site chicago illinois united states novo nordisk investigational site peoria illinois united states novo nordisk investigational site springfield illinois united states novo nordisk investigational site valparaiso indiana united states novo nordisk investigational site west des moines iowa united states novo nordisk investigational site topeka kansas united states novo nordisk investigational site lexington kentucky united states novo nordisk investigational site lexington kentucky united states novo nordisk investigational site rockville maryland united states novo nordisk investigational site waltham massachusetts united states novo nordisk investigational site worcester massachusetts united states novo nordisk investigational site henderson nevada united states novo nordisk investigational site las vegas nevada united states novo nordisk investigational site nashua new hampshire united states novo nordisk investigational site northport new york united states novo nordisk investigational site west seneca new york united states novo nordisk investigational site asheville north carolina united states novo nordisk investigational site chapel hill north carolina united states novo nordisk investigational site mentor ohio united states novo nordisk investigational site oklahoma city oklahoma united states novo nordisk investigational site philadelphia pennsylvania united states novo nordisk investigational site greenville south carolina united states novo nordisk investigational site chattanooga tennessee united states novo nordisk investigational site chattanooga tennessee united states novo nordisk investigational site nashville tennessee united states novo nordisk investigational site amarillo texas united states novo nordisk investigational site austin texas united states novo nordisk investigational site austin texas united states novo nordisk investigational site beaumont texas united states novo nordisk investigational site dallas texas united states novo nordisk investigational site dallas texas united states novo nordisk investigational site dallas texas united states novo nordisk investigational site longview texas united states novo nordisk investigational site pearland texas united states novo nordisk investigational site round rock texas united states novo nordisk investigational site ogden utah united states novo nordisk investigational site bennington vermont united states novo nordisk investigational site south burlington vermont united states novo nordisk investigational site chesapeake virginia united states novo nordisk investigational site winchester virginia united states novo nordisk investigational site olympia washington united states novo nordisk investigational site seattle washington united states novo nordisk investigational site spokane washington united states novo nordisk investigational site green bay wisconsin united states novo nordisk investigational site caba argentina novo nordisk investigational site caba argentina novo nordisk investigational site cordoba argentina novo nordisk investigational site crdoba argentina novo nordisk investigational site kozloduy bulgaria novo nordisk investigational site razgrad bulgaria novo nordisk investigational site sofia bulgaria novo nordisk investigational site sofia bulgaria novo nordisk investigational site edmonton alberta canada novo nordisk investigational site victoria british columbia canada novo nordisk investigational site halifax nova scotia canada novo nordisk investigational site barrie ontario canada novo nordisk investigational site concord ontario canada novo nordisk investigational site etobicoke ontario canada novo nordisk investigational site hamilton ontario canada novo nordisk investigational site newmarket ontario canada novo nordisk investigational site thunder bay ontario canada novo nordisk investigational site toronto ontario canada novo nordisk investigational site montreal quebec canada novo nordisk investigational site karlovac croatia novo nordisk investigational site osijek croatia novo nordisk investigational site varazdin croatia novo nordisk investigational site zagreb croatia novo nordisk investigational site hradec kralove czechia novo nordisk investigational site plzen czechia novo nordisk investigational site plzen czechia novo nordisk investigational site trutnov czechia novo nordisk investigational site dresden germany novo nordisk investigational site essen germany novo nordisk investigational site falkensee germany novo nordisk investigational site lingen germany novo nordisk investigational site mnster germany novo nordisk investigational site saint ingbertoberwrzbach germany novo nordisk investigational site schweinfurt germany novo nordisk investigational site athens greece novo nordisk investigational site athens greece novo nordisk investigational site ioannina greece novo nordisk investigational site larissa greece novo nordisk investigational site thessaloniki greece novo nordisk investigational site thessaloniki greece novo nordisk investigational site thessaloniki greece novo nordisk investigational site thessaloniki greece novo nordisk investigational site catanzaro italy novo nordisk investigational site chieti italy novo nordisk investigational site cittadella pd italy novo nordisk investigational site milano mi italy novo nordisk investigational site olbia italy novo nordisk investigational site palermo italy novo nordisk investigational site bucheon korea republic of novo nordisk investigational site daegu korea republic of novo nordisk investigational site seongnamsi korea republic of novo nordisk investigational site seoul korea republic of novo nordisk investigational site seoul korea republic of novo nordisk investigational site seoul korea republic of novo nordisk investigational site seoul korea republic of novo nordisk investigational site seoul korea republic of novo nordisk investigational site seoul korea republic of novo nordisk investigational site wonju korea republic of novo nordisk investigational site bialystok poland novo nordisk investigational site skorzewo poland novo nordisk investigational site warsaw poland novo nordisk investigational site warsaw poland novo nordisk investigational site warszawa poland novo nordisk investigational site wroclaw poland novo nordisk investigational site ponce puerto rico novo nordisk investigational site baia mare maramures romania novo nordisk investigational site tirgu mures mures romania novo nordisk investigational site timisoara timis romania novo nordisk investigational site brasov romania novo nordisk investigational site brasov romania novo nordisk investigational site bucharest romania novo nordisk investigational site arkhangelsk russian federation novo nordisk investigational site kazan russian federation novo nordisk investigational site moscow russian federation novo nordisk investigational site penza russian federation novo nordisk investigational site saint petersburg russian federation novo nordisk investigational site saintpetersburg russian federation novo nordisk investigational site tumen russian federation novo nordisk investigational site voronezh russian federation novo nordisk investigational site belgrade serbia novo nordisk investigational site kragujevac serbia novo nordisk investigational site nis serbia novo nordisk investigational site novi sad serbia novo nordisk investigational site zajecar serbia novo nordisk investigational site kosice slovakia novo nordisk investigational site kysucke nove mesto slovakia novo nordisk investigational site lubochna slovakia novo nordisk investigational site lucenec slovakia novo nordisk investigational site zilina slovakia novo nordisk investigational site alcobendas spain novo nordisk investigational site almera spain novo nordisk investigational site girona spain novo nordisk investigational site la corua spain novo nordisk investigational site pozuelo de alarcon spain novo nordisk investigational site sabadell spain novo nordisk investigational site sevilla spain novo nordisk investigational site sevilla spain novo nordisk investigational site dnipro ukraine novo nordisk investigational site kharkiv ukraine novo nordisk investigational site kyiv ukraine novo nordisk investigational site lviv ukraine novo nordisk investigational site ternopil ukraine novo nordisk investigational site vinnytsia ukraine ,https://ClinicalTrials.gov/ProvidedDocs/05/NCT03268005/Prot_000.pdf
281,NCT02762578,Completed,diabetes diabetes mellitus type 2 ,novo nordisk as , years and older   adult older adult ,industry ,allocation randomized intervention model parallel assignment masking none open label primary purpose treatment ,novo nordisk investigational site hefei anhui china novo nordisk investigational site hefei anhui china novo nordisk investigational site beijing beijing china novo nordisk investigational site beijing beijing china novo nordisk investigational site beijing beijing china novo nordisk investigational site beijing beijing china novo nordisk investigational site beijing beijing china novo nordisk investigational site beijing beijing china novo nordisk investigational site chongqing chongqing china novo nordisk investigational site chongqing chongqing china novo nordisk investigational site fuzhou fujian china novo nordisk investigational site fuzhou fujian china novo nordisk investigational site guangzhou guangdong china novo nordisk investigational site guangzhou guangdong china novo nordisk investigational site guangzhou guangdong china novo nordisk investigational site guangzhou guangdong china novo nordisk investigational site nanning guangxi china novo nordisk investigational site nanning guangxi china novo nordisk investigational site cangzhou hubei china novo nordisk investigational site baotou inner mongolia china novo nordisk investigational site changzhou jiangsu china novo nordisk investigational site nanjing jiangsu china novo nordisk investigational site nanjing jiangsu china novo nordisk investigational site nanjing jiangsu china novo nordisk investigational site suzhou jiangsu china novo nordisk investigational site suzhou jiangsu china novo nordisk investigational site zhenjiang jiangsu china novo nordisk investigational site nanchang jiangxi china novo nordisk investigational site changchun jilin china novo nordisk investigational site changchun jilin china novo nordisk investigational site changchun jilin china novo nordisk investigational site siping jilin china novo nordisk investigational site jinan shandong china novo nordisk investigational site shanghai shanghai china novo nordisk investigational site shanghai shanghai china novo nordisk investigational site shanghai shanghai china novo nordisk investigational site shanghai shanghai china novo nordisk investigational site shanghai shanghai china novo nordisk investigational site chengdu sichuan china novo nordisk investigational site tianjin tianjin china novo nordisk investigational site kunming yunnan china novo nordisk investigational site tianjin china ,https://ClinicalTrials.gov/ProvidedDocs/78/NCT02762578/Prot_000.pdf
282,NCT03917576,Completed,type2 diabetes mellitus hyperglycemia heart rate exercise training ,universidad de los lagos universidad de la frontera , years to  years   adult ,other ,allocation randomized intervention model parallel assignment masking single investigator primary purpose prevention ,cristian alvarez osorno chile ,https://ClinicalTrials.gov/ProvidedDocs/76/NCT03917576/Prot_SAP_000.pdf
283,NCT03018028,Completed,diabetes diabetes mellitus type 2 ,novo nordisk as , years and older   adult older adult ,industry ,allocation randomized intervention model parallel assignment masking double participant investigator primary purpose treatment ,novo nordisk investigational site akitashi akita japan novo nordisk investigational site arakawaku tokyo japan novo nordisk investigational site ebinashi kanagawa japan novo nordisk investigational site gunma japan novo nordisk investigational site kanagawa japan novo nordisk investigational site minatoku tokyo japan novo nordisk investigational site nakashi japan novo nordisk investigational site osakashi osaka japan novo nordisk investigational site otaku tokyo japan novo nordisk investigational site sagashi saga japan novo nordisk investigational site sendaishi miyagi japan novo nordisk investigational site suitashi osaka japan novo nordisk investigational site tokyo japan novo nordisk investigational site tokyo japan novo nordisk investigational site tokyo japan novo nordisk investigational site tokyo japan ,https://ClinicalTrials.gov/ProvidedDocs/28/NCT03018028/Prot_000.pdf
284,NCT02825251,Completed,diabetes diabetes mellitus type 1 ,novo nordisk as , years and older   adult older adult ,industry ,allocation randomized intervention model parallel assignment masking double participant investigator primary purpose treatment ,novo nordisk investigational site encino california united states novo nordisk investigational site fresno california united states novo nordisk investigational site roseville california united states novo nordisk investigational site san mateo california united states novo nordisk investigational site san ramon california united states novo nordisk investigational site santa barbara california united states novo nordisk investigational site walnut creek california united states novo nordisk investigational site newark delaware united states novo nordisk investigational site atlanta georgia united states novo nordisk investigational site idaho falls idaho united states novo nordisk investigational site arlington heights illinois united states novo nordisk investigational site lexington kentucky united states novo nordisk investigational site rockville maryland united states novo nordisk investigational site boston massachusetts united states novo nordisk investigational site minneapolis minnesota united states novo nordisk investigational site las vegas nevada united states novo nordisk investigational site nashua new hampshire united states novo nordisk investigational site albany new york united states novo nordisk investigational site asheville north carolina united states novo nordisk investigational site chapel hill north carolina united states novo nordisk investigational site pittsburgh pennsylvania united states novo nordisk investigational site chattanooga tennessee united states novo nordisk investigational site chattanooga tennessee united states novo nordisk investigational site amarillo texas united states novo nordisk investigational site austin texas united states novo nordisk investigational site dallas texas united states novo nordisk investigational site dallas texas united states novo nordisk investigational site mesquite texas united states novo nordisk investigational site federal way washington united states novo nordisk investigational site renton washington united states novo nordisk investigational site arlon belgium novo nordisk investigational site bonheiden belgium novo nordisk investigational site brussels belgium novo nordisk investigational site edegem belgium novo nordisk investigational site leuven belgium novo nordisk investigational site sintniklaas belgium novo nordisk investigational site wilrijk belgium novo nordisk investigational site edmonton alberta canada novo nordisk investigational site barrie ontario canada novo nordisk investigational site concord ontario canada novo nordisk investigational site london ontario canada novo nordisk investigational site oakville ontario canada novo nordisk investigational site toronto ontario canada novo nordisk investigational site montreal quebec canada novo nordisk investigational site quebec canada novo nordisk investigational site caen france novo nordisk investigational site la rochelle cedex france novo nordisk investigational site le creusot france novo nordisk investigational site montpellier cedex  france novo nordisk investigational site narbonne france novo nordisk investigational site paris france novo nordisk investigational site saint herblain france novo nordisk investigational site strasbourg france novo nordisk investigational site toulouse cedex france novo nordisk investigational site venissieux france novo nordisk investigational site bad mergentheim germany novo nordisk investigational site essen germany novo nordisk investigational site friedrichsthal germany novo nordisk investigational site hamburg germany novo nordisk investigational site ludwigshafen germany novo nordisk investigational site mnster germany novo nordisk investigational site neuwied germany novo nordisk investigational site rehlingensiersburg germany novo nordisk investigational site rostock germany novo nordisk investigational site amsterdam netherlands novo nordisk investigational site apeldoorn netherlands novo nordisk investigational site eindhoven netherlands novo nordisk investigational site hoofddorp netherlands novo nordisk investigational site hoogeveen netherlands novo nordisk investigational site leiden netherlands novo nordisk investigational site nijmegen netherlands novo nordisk investigational site rotterdam netherlands novo nordisk investigational site utrecht netherlands novo nordisk investigational site venlo netherlands novo nordisk investigational site cheboksary russian federation novo nordisk investigational site moscow russian federation novo nordisk investigational site novosibirsk russian federation novo nordisk investigational site saintpetersburg russian federation novo nordisk investigational site saintpetersburg russian federation novo nordisk investigational site saintpetersburg russian federation novo nordisk investigational site saintpetersburg russian federation novo nordisk investigational site saratov russian federation novo nordisk investigational site st petersburg russian federation novo nordisk investigational site yoshkarola russian federation novo nordisk investigational site ljubljana slovenia novo nordisk investigational site novo mesto slovenia novo nordisk investigational site cambridge united kingdom novo nordisk investigational site guildford united kingdom novo nordisk investigational site harrogate north yorkshire united kingdom novo nordisk investigational site london united kingdom novo nordisk investigational site manchester united kingdom novo nordisk investigational site st helens united kingdom ,https://ClinicalTrials.gov/ProvidedDocs/51/NCT02825251/Prot_000.pdf
285,NCT03172494,Completed,diabetes diabetes mellitus type 2 ,novo nordisk as , years and older   adult older adult ,industry ,allocation randomized intervention model parallel assignment masking none open label primary purpose treatment ,novo nordisk investigational site hefei anhui china novo nordisk investigational site beijing beijing china novo nordisk investigational site chongqing chongqing china novo nordisk investigational site fuzhou fujian china novo nordisk investigational site fuzhou fujian china novo nordisk investigational site guangzhou guangdong china novo nordisk investigational site guangzhou guangdong china novo nordisk investigational site guangzhou guangdong china novo nordisk investigational site cangzhou hebei china novo nordisk investigational site shijiazhuang hebei china novo nordisk investigational site shijiazhuang hebei china novo nordisk investigational site changzhou jiangsu china novo nordisk investigational site huaian jiangsu china novo nordisk investigational site huaian jiangsu china novo nordisk investigational site nanjing jiangsu china novo nordisk investigational site nanjing jiangsu china novo nordisk investigational site nanjing jiangsu china novo nordisk investigational site zhenjiang jiangsu china novo nordisk investigational site nanchang jiangxi china novo nordisk investigational site nanchang jiangxi china novo nordisk investigational site changchun jilin china novo nordisk investigational site dalian liaoning china novo nordisk investigational site yinchuan ningxia china novo nordisk investigational site xian shaanxi china novo nordisk investigational site jinan shandong china novo nordisk investigational site pudong new district shanghai china novo nordisk investigational site shanghai shanghai china novo nordisk investigational site shanghai shanghai china novo nordisk investigational site shanghai shanghai china novo nordisk investigational site shanghai shanghai china novo nordisk investigational site shanghai shanghai china novo nordisk investigational site shanghai shanghai china novo nordisk investigational site shanghai shanghai china novo nordisk investigational site tianjin tianjin china novo nordisk investigational site kunming yunnan china novo nordisk investigational site beijing china novo nordisk investigational site fuzhou china ,https://ClinicalTrials.gov/ProvidedDocs/94/NCT03172494/Prot_000.pdf
286,NCT04997512,Not Completed,type 2 diabetes ,university of leeds abbott diabetes care , years and older   adult older adult ,other industry ,allocation randomized intervention model parallel assignment masking none open label primary purpose treatment ,diabetes centre st james hospital leeds west yorkshire united kingdom ,https://ClinicalTrials.gov/ProvidedDocs/12/NCT04997512/Prot_SAP_000.pdf
287,NCT02849080,Completed,diabetes diabetes mellitus type 2 ,novo nordisk as , years and older   adult older adult ,industry ,allocation randomized intervention model parallel assignment masking none open label primary purpose treatment ,novo nordisk investigational site glendale arizona united states novo nordisk investigational site phoenix arizona united states novo nordisk investigational site lancaster california united states novo nordisk investigational site van nuys california united states novo nordisk investigational site boynton beach florida united states novo nordisk investigational site lake worth florida united states novo nordisk investigational site miami lakes florida united states novo nordisk investigational site port orange florida united states novo nordisk investigational site tampa florida united states novo nordisk investigational site tampa florida united states novo nordisk investigational site atlanta georgia united states novo nordisk investigational site blackfoot idaho united states novo nordisk investigational site evanston illinois united states novo nordisk investigational site greenfield indiana united states novo nordisk investigational site muncie indiana united states novo nordisk investigational site louisville kentucky united states novo nordisk investigational site metairie louisiana united states novo nordisk investigational site oxon hill maryland united states novo nordisk investigational site flint michigan united states novo nordisk investigational site billings montana united states novo nordisk investigational site henderson nevada united states novo nordisk investigational site albuquerque new mexico united states novo nordisk investigational site chapel hill north carolina united states novo nordisk investigational site greensboro north carolina united states novo nordisk investigational site greenville north carolina united states novo nordisk investigational site whiteville north carolina united states novo nordisk investigational site cleveland ohio united states novo nordisk investigational site mentor ohio united states novo nordisk investigational site wadsworth ohio united states novo nordisk investigational site pittsburgh pennsylvania united states novo nordisk investigational site murrells inlet south carolina united states novo nordisk investigational site myrtle beach south carolina united states novo nordisk investigational site kingsport tennessee united states novo nordisk investigational site corpus christi texas united states novo nordisk investigational site dallas texas united states novo nordisk investigational site chesapeake virginia united states novo nordisk investigational site renton washington united states novo nordisk investigational site caba argentina novo nordisk investigational site corrientes argentina novo nordisk investigational site rosario argentina novo nordisk investigational site graz austria novo nordisk investigational site saint stefan austria novo nordisk investigational site wien austria novo nordisk investigational site bonheiden belgium novo nordisk investigational site boussu belgium novo nordisk investigational site bruxelles belgium novo nordisk investigational site edegem belgium novo nordisk investigational site gent belgium novo nordisk investigational site leuven belgium novo nordisk investigational site lige belgium novo nordisk investigational site so paulo sao paulo brazil novo nordisk investigational site alexandria egypt novo nordisk investigational site cairo egypt novo nordisk investigational site cairo egypt novo nordisk investigational site ansan korea republic of novo nordisk investigational site gangwondo korea republic of novo nordisk investigational site pusan korea republic of novo nordisk investigational site seoul korea republic of novo nordisk investigational site seoul korea republic of novo nordisk investigational site seoul korea republic of novo nordisk investigational site suwon korea republic of novo nordisk investigational site hamar norway novo nordisk investigational site oslo norway novo nordisk investigational site oslo norway novo nordisk investigational site stavanger norway novo nordisk investigational site trondheim norway novo nordisk investigational site bern switzerland novo nordisk investigational site einsiedeln switzerland novo nordisk investigational site genve  switzerland novo nordisk investigational site luzern  switzerland novo nordisk investigational site olten switzerland novo nordisk investigational site st gallen switzerland novo nordisk investigational site st gallen switzerland novo nordisk investigational site winterthur switzerland novo nordisk investigational site adana turkey novo nordisk investigational site ankara turkey novo nordisk investigational site antalya turkey novo nordisk investigational site istanbul turkey novo nordisk investigational site istanbul turkey novo nordisk investigational site istanbul turkey novo nordisk investigational site istanbul turkey novo nordisk investigational site istanbul turkey novo nordisk investigational site rize turkey ,https://ClinicalTrials.gov/ProvidedDocs/80/NCT02849080/Prot_000.pdf
288,NCT02505334,Completed,diabetes diabetes mellitus type 2 ,novo nordisk as , years and older   adult older adult ,industry ,allocation randomized intervention model parallel assignment masking none open label primary purpose treatment ,novo nordisk investigational site annakashi gunma japan novo nordisk investigational site chitose hokkaido japan novo nordisk investigational site chuoku tokyo japan novo nordisk investigational site chuoku tokyo japan novo nordisk investigational site chuoku tokyo japan novo nordisk investigational site chuoku japan novo nordisk investigational site fukuokashi fukuoka japan novo nordisk investigational site higashiosakashi osaka japan novo nordisk investigational site hokkaido japan novo nordisk investigational site ichikawashi chiba japan novo nordisk investigational site irumashi saitama japan novo nordisk investigational site izumisanoshi japan novo nordisk investigational site kashiwarashi osaka japan novo nordisk investigational site kawagoeshi saitama japan novo nordisk investigational site kobeshi hyogo japan novo nordisk investigational site kumamotoshikumamoto japan novo nordisk investigational site mitoshi ibaraki japan novo nordisk investigational site mitoshi ibaraki japan novo nordisk investigational site miyazakishi japan novo nordisk investigational site nakashi ibaraki japan novo nordisk investigational site neyagawashi osaka japan novo nordisk investigational site nishinomiyashi hygo japan novo nordisk investigational site nishinomiyashi hyogo japan novo nordisk investigational site oitashi japan novo nordisk investigational site okawashi fukuoka japan novo nordisk investigational site osakashi osaka japan novo nordisk investigational site osakashi osaka japan novo nordisk investigational site oyamashi tochigi japan novo nordisk investigational site sagashisaga japan novo nordisk investigational site sapporoshi hokkaido japan novo nordisk investigational site sapporoshi hokkaido japan novo nordisk investigational site sapporoshi hokkaido japan novo nordisk investigational site sapproshi hokkaido japan novo nordisk investigational site shimotsukeshi tochigi japan novo nordisk investigational site shinjukuku tokyo japan novo nordisk investigational site shizuokashi japan novo nordisk investigational site suitashi osaka japan novo nordisk investigational site takatsukishi osaka japan novo nordisk investigational site tokyo japan novo nordisk investigational site tokyo japan novo nordisk investigational site tokyo japan novo nordisk investigational site tokyo japan novo nordisk investigational site tokyo japan novo nordisk investigational site tokyo japan novo nordisk investigational site yokohama kanagawa japan novo nordisk investigational site yokohamashi kanagawa japan novo nordisk investigational site yokohamashi japan ,https://ClinicalTrials.gov/ProvidedDocs/34/NCT02505334/Prot_000.pdf
